"","X","Film","Race","Gender","Words"
"1",1,"The Fellowship Of The Ring","Elf","Female",1229
"2",2,"The Fellowship Of The Ring","Hobbit","Female",14
"3",3,"The Fellowship Of The Ring","Man","Female",0
"4",4,"The Two Towers","Elf","Female",331
"5",5,"The Two Towers","Hobbit","Female",0
"6",6,"The Two Towers","Man","Female",401
"7",7,"The Return Of The King","Elf","Female",183
"8",8,"The Return Of The King","Hobbit","Female",2
"9",9,"The Return Of The King","Man","Female",268
"10",10,"The Fellowship Of The Ring","Elf","Male",971
"11",11,"The Fellowship Of The Ring","Hobbit","Male",3644
"12",12,"The Fellowship Of The Ring","Man","Male",1995
"13",13,"The Two Towers","Elf","Male",513
"14",14,"The Two Towers","Hobbit","Male",2463
"15",15,"The Two Towers","Man","Male",3589
"16",16,"The Return Of The King","Elf","Male",510
"17",17,"The Return Of The King","Hobbit","Male",2673
"18",18,"The Return Of The King","Man","Male",2459
